6-digit activity code,6-digit activity code_text,Activity,AinsworthCode (Best guess),AinsworthMETS,AinsworthMajorHeading,AinsworthSpecific,Travel-related (Y/N),Notes
90199,t90199,"Using household services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90201,t90201,Using home maint/repair/d_cor/construction svcs,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90202,t90202,Waiting associated w/ home main/repair/d_cor/constr,7021,1.3,Inactivity ,"sitting quietly, general",N,
90299,t90299,"Using home maint/repair/d_cor/constr services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90301,t90301,Using pet services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90302,t90302,Waiting associated with pet services,7021,1.3,Inactivity ,"sitting quietly, general",N,
90399,t90399,"Using pet services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90401,t90401,Using lawn and garden services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90402,t90402,Waiting associated with using lawn & garden services,7021,1.3,Inactivity ,"sitting quietly, general",N,
90499,t90499,"Using lawn and garden services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90501,t90501,Using vehicle maintenance or repair services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
90502,t90502,Waiting associated with vehicle main. or repair svcs,7021,1.3,Inactivity ,"sitting quietly, general",N,
90599,t90599,"Using vehicle maint. & repair svcs, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
99999,t99999,"Using household services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
100101,t100101,Using police and fire services,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Typically standing to complete these tasks
100102,t100102,Using social services,9040,1.3,Miscellaneous ,"sitting, writing, desk work, typing",N,
100103,t100103,"Obtaining licenses & paying fines, fees, taxes",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,Involves standing in line and eventually talking to people to get accurate forms and such
100199,t100199,"Using government services, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
100201,t100201,Civic obligations & participation,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,
100299,t100299,"Civic obligations & participation, n.e.c.*",9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,
100304,t100304,Waiting associated with using government services,7021,1.3,Inactivity ,"sitting quietly, general",N,
100305,t100305,Waiting associated with civic obligations & participation,7021,1.3,Inactivity ,"sitting quietly, general",N,
100399,t100399,"Waiting assoc. w/govt svcs or civic obligations, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
100401,t100401,Security procedures rel. to govt svcs/civic obligations,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
100499,t100499,"Security procedures rel. to govt svcs/civic obligations, n.e.c.*",9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
109999,t109999,"Government services, n.e.c.*",9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,
110101,t110101,Eating and drinking,13030,1.5,Self Care,"eating, sitting",N,
110199,t110199,"Eating and drinking, n.e.c.*",13030,1.5,Self Care,"eating, sitting",N,
110201,t110201,Waiting associated w/eating & drinking,7021,1.3,Inactivity ,"sitting quietly, general",N,
110299,t110299,"Waiting associated with eating & drinking, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
119999,t119999,"Eating and drinking, n.e.c.*",13030,1.5,Self Care,"eating, sitting",N,
120101,t120101,Socializing and communicating with others,9100,1.8,Miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",N,"Likely socializing involves talking eating, relaxing; similar to a family reunion"
120199,t120199,"Socializing and communicating, n.e.c.*",9100,1.8,Miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",N,
120201,t120201,Attending or hosting parties/receptions/ceremonies,9100,1.8,Miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",N,"Attending social events usually entails sitting, talking, and eating"
120202,t120202,Attending meetings for personal interest (not volunteering),9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,
120299,t120299,"Attending/hosting social events, n.e.c.*",9100,1.8,Miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",N,"Attending social events usually entails sitting, talking, and eating"
120301,t120301,"Relaxing, thinking ",7011,1.3,Inactivity ,"lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",N,Relaxing and doing nothing 
120302,t120302,Tobacco and drug use,7024,1.3,Inactivity ,"sitting, smoking",N,
120303,t120303,Television and movies (not religious),7010,1,Inactivity ,lying quietly and watching television,N,
120304,t120304,Television (religious),7010,1,Inactivity ,lying quietly and watching television,N,
120305,t120305,Listening to the radio,7025,1.5,Inactivity ,"sitting, listening to music (not talking or reading) or watching a movie in a theater",N,
120306,t120306,Listening to/playing music (not radio),10074,2,Music Playing ,"playing musical instruments, generalæ",N,
120307,t120307,Playing games,9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,Likely sitting and playing with others while playing these games
120308,t120308,Computer use for leisure (exc. Games),9045,1,Miscellaneous,"sitting, playing traditional video game, computer gameæ",N,
120309,t120309,Arts and crafts as a hobby,9080,3,Miscellaneous,"sitting, arts and crafts,æ carving wood, weaving, spinning wool, moderate effort",N,
120310,t120310,Collecting as a hobby,9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,Collecting items and organizing them would seem to be similar to studying at a desk
120311,t120311,"Hobbies, except arts & crafts and collecting",17085,2.5,Walking,"bird watching, slow walk",N,Likely too specific for the broad category
120312,t120312,Reading for personal interest,7070,1.3,Inactivity ,"reclining, reading",N,
120313,t120313,Writing for personal interest ,9020,1.8,Miscellaneous,"drawing, writing, painting, standing",N,Not necessarily standing
120399,t120399,"Relaxing and leisure, n.e.c.*",7021,1.3,Miscellaneous,"sitting quietly, general",N,
120401,t120401,Attending performing arts,20005,1.8,Religious Activity,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",N,"Not necessarily religious, but same idea"
120402,t120402,Attending museums,17250,3.5,Walking,"walking, for pleasure, work break",N,Walking for pleasure because you're strolling around a museum with the purpose of seeing exhibits
120403,t120403,Attending movies/film,7025,1.5,Miscellaneous,"sitting, listening to music (not talking or reading) or watching a movie in a theater",N,
120404,t120404,Attending gambling establishments,9005,2.5,Miscellaneous,"casino gambling, standing",N,
120405,t120405,Security procedures rel. to arts & entertainment,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
120499,t120499,"Arts and entertainment, n.e.c.*",17250,3.5,Walking,"walking, for pleasure, work break",N,Walking for pleasure because you're strolling around to see different things at the event
120501,t120501,Waiting assoc. w/socializing & communicating,7021,1.3,Inactivity ,"sitting quietly, general",N,
120502,t120502,Waiting assoc. w/attending/hosting social events,7021,1.3,Inactivity ,"sitting quietly, general",N,
120503,t120503,Waiting associated with relaxing/leisure,7021,1.3,Inactivity ,"sitting quietly, general",N,
120504,t120504,Waiting associated with arts & entertainment,7021,1.3,Inactivity ,"sitting quietly, general",N,
120599,t120599,"Waiting associated with socializing, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
129999,t129999,"Socializing, relaxing, and leisure, n.e.c.*",9100,1.8,Miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",N,"Attending social events usually entails sitting, talking, and eating"
130101,t130101,Doing aerobics,3015,7.3,Dancing,"aerobic, general",N,
130102,t130102,Playing baseball,15620,5,Sports,"softball or baseball, fast or slow pitch, general (Taylor Code 440)",N,
130103,t130103,Playing basketball,15055,6.5,Sports,"basketball, generalæ",N,
130104,t130104,Biking,1015,7.5,Bicycling,"bicycling, general",N,
130105,t130105,Playing billiards,15080,2.5,Sports,billards,N,
130106,t130106,Boating,18070,3.5,Sports,"canoeing, rowing, for pleasure, general (Taylor Code 250)",N,Tried to select the most general boating option that wasn't competitive since most people won't be boating at a competitive level
130107,t130107,Bowling ,15092,3.8,Sports,"bowling, indoor, bowling alleyæ",N,
130108,t130108,"Climbing, spelunking, caving",15533,8,Sports,rock or mountain climbing (Taylor Code 470)æ,N,
130109,t130109,Dancing,3031,7.8,Dancing,"general dancing (e.g., disco, folk, Irish step dancing, line dancing, polka, contra, country)",N,
130110,t130110,Participating in equestrian sports,15390,5.8,Sports,"horseback riding, trotting",N,Selected trotting as an average between walking and cantoring 
130111,t130111,Fencing,15200,6,Sports,fencing,N,
130112,t130112,Fishing,4001,3.5,Fishing and Hunting,"fishing, general",N,
130113,t130113,Playing football,15210,8,Sports,"football, competitive",N,
130114,t130114,Golfing,15255,4.8,Sports,"golf, general",N,
130115,t130115,Doing gymnastics,15300,3.8,Sports,"gymnastics, general",N,
130116,t130116,Hiking,17012,7.8,Walking,"backpacking, hiking or organized walking with a daypack",N,
130117,t130117,Playing hockey,15360,8,Sports,"hockey, ice, general",N,
130118,t130118,Hunting,4100,5,Fishing and Hunting,"hunting, general",N,Chose the general option to encompass all apsects of hunting 
130119,t130119,Participating in martial arts,15430,10.3,Sports,"martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing)",N,
130120,t130120,Playing racquet sports ,15530,7,Sports,"racquetball, general (Taylor Code 470)",N,Only racquet sport available 
130121,t130121,Participating in rodeo competitions,15544,5.5,Sports,"rodeo sports, general, moderate effort",N,
130122,t130122,Rollerblading,15592,9.8,Sports,"rollerblading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",N,
130123,t130123,Playing rugby,15560,8.3,Sports,"rugby, union, team, competitive",N,Chose the non-touch option because it seemed more likely
130124,t130124,Running,12080,11.8,Running,"running, 7.5 mph (8 min/mile)",N,Chose the 8 minute mile because that seems to be a benchmark in the athletic world 
130125,t130125,"Skiing, ice skating, snowboarding",19160,5.3,Winter Activities,"skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",N,Moderate effort as an average
130126,t130126,Playing soccer,15605,10,Sports,"soccer, competitive",N,
130127,t130127,Softball,15620,5,Sports,"softball or baseball, fast or slow pitch, general (Taylor Code 440)",N,
130128,t130128,Using cardiovascular equipment,2065,9,Conditioning Exercise,"stair-treadmill ergometer, general",N,
130129,t130129,Vehicle touring/racing,15192,8.5,Sports,"auto racing, open wheel",N,
130130,t130130,Playing volleyball,15711,6,Sports,"volleyball, competitive, in gymnasium",N,
130131,t130131,Walking,17190,3.5,Walking,"walking, 2.8 to 3.2 mph, level, moderate pace, firm surface",N,
130132,t130132,Participating in water sports,18355,5.5,Water Activities,"water aerobics, water calisthenics",N,"Water aerobics seemed to be the only option, which could plausibly include all examples; kind of a stretch, but it all involves aerobic activity in water"
130133,t130133,Weightlifting/strength training,2050,6,Conditioning Exercise,"resistance training (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort (Taylor Code 210)",N,
130134,t130134,"Working out, unspecified",2101,2.3,Conditioning Exercise,"stretching, mild",N,I chose the more specific example since cardio seemed to be included in some of the other categories
130135,t130135,Wrestling,15730,6,Sports,wrestling (one match = 5 minutes),N,
130136,t130136,Doing yoga,2180,3.3,Conditioning Exercise,"yoga, Surya Namaskar",N,"Wasn't sure how to differentiate between yoga types, so just picked one with a MET level in the middle "
130199,t130199,Playing sports n.e.c.*,15570,3,Sports,shuffleboard,N,Shuffleboard seemed to be of the same energy output as many of the examples
130201,t130201,Watching aerobics,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130202,t130202,Watching baseball,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130203,t130203,Watching basketball,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130204,t130204,Watching biking,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130205,t130205,Watching billiards,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130206,t130206,Watching boating,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130207,t130207,Watching bowling,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130208,t130208,"Watching climbing, spelunking, caving",7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130209,t130209,Watching dancing,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130210,t130210,Watching equestrian sports,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130211,t130211,Watching fencing,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130212,t130212,Watching fishing,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130213,t130213,Watching football,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130214,t130214,Watching golfing,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130215,t130215,Watching gymnastics,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130216,t130216,Watching hockey,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130217,t130217,Watching martial arts ,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130218,t130218,Watching racquet sports,,,,,,
130219,t130219,Watching rodeo competitions,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130220,t130220,Watching rollerblading,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130221,t130221,Watching rugby,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130222,t130222,Watching running,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130223,t130223,"Watching skiing, ice skating, snowboarding",7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130224,t130224,Watching soccer,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130225,t130225,Watching softball,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130226,t130226,Watching vehicle touring/racing,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130227,t130227,Watching volleyball,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130228,t130228,Watching walking,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130229,t130229,Watching water sports,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130230,t130230,Watching weightlifting/strength training,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130231,t130231,"Watching people working out, unspecified",7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130232,t130232,Watching wrestling,7020,1.3,Inactivity,sitting quietly and watching television,N,Assumes you're watching the event on television
130299,t130299,"Attending sporting events, n.e.c.*",20005,1.8,Religious Activity,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",N,"Not actually religious, but the same idea "
130301,t130301,Waiting related to playing sports or exercising,7021,1.3,Inactivity ,"sitting quietly, general",N,
130302,t130302,Waiting related to attending sporting events,7021,1.3,Inactivity ,"sitting quietly, general",N,
130399,t130399,"Waiting associated with sports, exercise, & recreation, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
130401,t130401,Security related to playing sports or exercising,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
130402,t130402,Security related to attending sporting events,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
130499,t130499,"Security related to sports, exercise, & recreation, n.e.c.*",9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
139999,t139999,"Sports, exercise, & recreation, n.e.c.*",,,,,,
140101,t140101,Attending religious services,20005,1.8,Religious Activity,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",N,
140102,t140102,Participation in religious practices,20025,1.3,Religious Activity,"kneeling in church or at home, praying",N,
140103,t140103,Waiting associated w/religious & spiritual activities,7021,1.3,Inactivity ,"sitting quietly, general",N,
140104,t140104,Security procedures rel. to religious & spiritual activities,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
140105,t140105,Religious education activities,9065,1.8,Miscellaneous,"sitting, in class, general, including note-taking or class discussion",,
149999,t149999,"Religious and spiritual activities, n.e.c.*",20005,1.8,Religious Activity,"sitting in church, talking or singing, attending a ceremony, sitting, active participation",N,
150101,t150101,Computer use,11580,1.5,Occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",N,
150102,t150102,Organizing and preparing,9040,1.3,Miscellaneous,"sitting, writing, desk work, typing",N,
150103,t150103,Reading,9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
150104,t150104,Telephone calls (except hotline counseling),9055,1.5,Miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",N,
150105,t150105,Writing,9060,1.3,Miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",N,
150106,t150106,Fundraising,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,"All these require speaking to someone, typically in person while standing "
150199,t150199,"Administrative & support activities, n.e.c.*",21005,1.5,Religious Activity,"sitting, light office work, in general",N,
150201,t150201,"Food preparation, presentation, clean-up",20046,2,Religious Activity,preparing food at church,N,
150202,t150202,Collecting & delivering clothing & other goods,20065,3.5,Religious Activity,"standing, moderate effort (e.g., lifting heavy objects, assembling at fast rate)",N,Likely standing and lifting to be able to move and collect clothes
150203,t150203,Providing care,21000,1.5,Volunteer Activity,"sitting, meeting, general, and/or with talking involved",N,
150204,t150204,"Teaching, leading, counseling, mentoring",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,"Most, if not all, teaching requires standing and speaking in front of a class"
150299,t150299,"Social service & care activities, n.e.c.*",5080,1.3,Home Activity,"knitting, sewing, light effort, wrapping presents, sitting",N,
150301,t150301,"Building houses, wildlife sites, & other structures",6050,6,Home Repair,"carpentry, outside house, installing rain gutters (Taylor Code 640),carpentry, outside house, building a fence",N,
150302,t150302,"Indoor & outdoor maintenance, repair, & clean-up",6127,4.5,Home Repair,"home repair, general, moderate effortæ",N,
150399,t150399,"Indoor & outdoor maintenance, building & clean-up activities, n.e.c.*",6126,2.5,Home Repair,"home repair, general, light effortæ",N,Cleaning requires lighter effort than actually repair
150401,t150401,Performing,10125,3,Music Playing,"guitar, rock and roll band, standing",N,Likely any performance is similar to this
150402,t150402,Serving at volunteer events & cultural activities,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
150499,t150499,"Participating in performance & cultural activities, n.e.c.*",10125,3,Music Playing,"guitar, rock and roll band, standing",N,Likely any performance is similar to this
150501,t150501,"Attending meetings, conferences, & training",21000,1.5,Volunteer Activity,"sitting, meeting, general, and/or with talking involved",N,
150599,t150599,"Attending meetings, conferences, & training, n.e.c.*",21000,1.5,Volunteer Activity,"sitting, meeting, general, and/or with talking involved",N,
150601,t150601,Public health activities,,,,,,
150602,t150602,Public safety activities,11240,8,Occupation,"fire fighter, general",N,
150699,t150699,"Public health & safety activities, n.e.c.*",,,,,,
150701,t150701,Waiting associated with volunteer activities,7021,1.3,Inactivity ,"sitting quietly, general",N,
150799,t150799,"Waiting associated with volunteer activities, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
150801,t150801,Security procedures related to volunteer activities,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
150899,t150899,"Security procedures related to volunteer activities, n.e.c.*",9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
159999,t159999,"Volunteer activities, n.e.c.*",21015,2.3,Volunteer Activity,"standing, light work (filing, talking, assembling)",N,Most of these example sinvolve standing without light work
160101,t160101,Telephone calls to/from family members,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160102,t160102,"Telephone calls to/from friends, neighbors, or acquaintances",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160103,t160103,Telephone calls to/from education services providers,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160104,t160104,Telephone calls to/from salespeople,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160105,t160105,Telephone calls to/from professional or personal care svcs providers,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160106,t160106,Telephone calls to/from household services providers,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160107,t160107,Telephone calls to/from paid child or adult care providers,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160108,t160108,Telephone calls to/from government officials,9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160199,t160199,"Telephone calls (to or from), n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
160201,t160201,Waiting associated with telephone calls,7021,1.3,Inactivity ,"sitting quietly, general",N,
160299,t160299,"Waiting associated with telephone calls, n.e.c.*",7021,1.3,Inactivity ,"sitting quietly, general",N,
169999,t169999,"Telephone calls, n.e.c.*",9050,1.8,Miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",N,
180101,t180101,Travel related to personal care,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180199,t180199,"Travel related to personal care, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180201,t180201,Travel related to housework,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180202,t180202,"Travel related to food & drink prep., clean-up, & presentation",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180203,t180203,"Travel related to interior maintenance, repair, & decoration",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180204,t180204,"Travel related to exterior maintenance, repair, & decoration",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180205,t180205,"Travel related to lawn, garden, and houseplant care",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180206,t180206,Travel related to care for animals and pets (not vet care),16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180207,t180207,Travel related to vehicle care & maintenance (by self),16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180208,t180208,"Travel related to appliance, tool, and toy set-up, repair, & maintenance (by self)",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180209,t180209,Travel related to household management,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180299,t180299,"Travel related to household activities, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180301,t180301,Travel related to caring for & helping hh children,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180302,t180302,Travel related to hh children's education,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180303,t180303,Travel related to hh children's health,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180304,t180304,Travel related to caring for hh adults,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180305,t180305,Travel related to helping hh adults,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180399,t180399,"Travel rel. to caring for & helping hh members, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180401,t180401,Travel related to caring for and helping nonhh children,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180402,t180402,Travel related to nonhh children's education,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180403,t180403,Travel related to nonhh children's health,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180404,t180404,Travel related to caring for nonhh adults,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180405,t180405,Travel related to helping nonhh adults,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180499,t180499,"Travel rel. to caring for & helping nonhh members, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180501,t180501,Travel related to working,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180502,t180502,Travel related to work-related activities,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180503,t180503,Travel related to income-generating activities,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180504,t180504,Travel related to job search & interviewing,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180599,t180599,"Travel related to work, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180601,t180601,Travel related to taking class,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180602,t180602,Travel related to extracurricular activities (ex. Sports),16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180603,t180603,Travel related to research/homework,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180604,t180604,Travel related to registration/administrative activities,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180699,t180699,"Travel related to education, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180701,t180701,Travel related to grocery shopping,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180702,t180702,Travel related to purchasing gas,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180703,t180703,Travel related to purchasing food (not groceries),16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180704,t180704,"Travel related to shopping, ex groceries, food, and gas",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180799,t180799,"Travel related to consumer purchases, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180801,t180801,Travel related to using childcare services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
